index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,status,hasLift,parkingSpace,newDevelopmentFinished,Week,topNewDevelopment
42,89198906,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/5d/71/765695268.jpg,,12,6,195000.0,flat,sale,75.0,True,3,1,SANTA EULALIA,Barcelona,Hospitalet de Llobregat,Santa Eulàlia,es,Santa Eulàlia,41.3568824,2.1201074,False,https://www.idealista.com/inmueble/89198906/,5149,False,False,2600.0,{'typology': 'flat'},"{'subtitle': 'Santa Eulàlia, Hospitalet de Llobregat', 'title': 'Piso en SANTA EULALIA'}",True,False,False,good,True,,,16,
43,89198103,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/18/0d/b3/765673778.jpg,VTA-BISCAYA,19,5,295000.0,flat,sale,74.0,True,2,1,Calle de Biscaia,Barcelona,Barcelona,Sant Andreu,es,Navas,41.4177947,2.1901529,False,https://www.idealista.com/inmueble/89198103/,3880,True,False,3986.0,{'typology': 'flat'},"{'subtitle': 'Navas, Barcelona', 'title': 'Piso en Calle de Biscaia'}",True,False,False,good,True,,,16,
44,89197449,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/d0/0b/765658197.jpg,VTA-ATICOARAGON,18,7,398000.0,penthouse,sale,97.0,False,4,2,Calle d'Aragó,Barcelona,Barcelona,Eixample,es,La Nova Esquerra de l'Eixample,41.3804951,2.1524532,False,https://www.idealista.com/inmueble/89197449/,1391,True,False,4103.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': ""La Nova Esquerra de l'Eixample, Barcelona"", 'title': ""Ático en Calle d'Aragó""}",True,False,False,good,True,,,16,
45,89196819,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b6/18/34/765648111.jpg,VTA-RAF13,17,13,224000.0,flat,sale,82.0,True,3,1,Calle de Cantàbria,Barcelona,Barcelona,Sant Martí,es,Sant Martí de Provençals,41.4201811,2.196801,False,https://www.idealista.com/inmueble/89196819/,4410,True,False,2732.0,{'typology': 'flat'},"{'subtitle': 'Sant Martí de Provençals, Barcelona', 'title': 'Piso en Calle de Cantàbria'}",True,False,False,good,True,,,16,
46,89201799,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/a3/ec/765775391.jpg,VTA-SARA3,11,4,215000.0,flat,sale,70.0,True,3,1,Calle Menorca,Barcelona,Barcelona,Sant Martí,es,Sant Martí de Provençals,41.4197136,2.197125,False,https://www.idealista.com/inmueble/89201799/,4384,True,False,3071.0,{'typology': 'flat'},"{'subtitle': 'Sant Martí de Provençals, Barcelona', 'title': 'Piso en Calle Menorca'}",True,False,False,good,True,,,16,
47,89211860,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/7f/e6/766079718.jpg,CLOT320,24,4,320000.0,flat,sale,98.0,True,3,2,Gran Via de les Corts Catalanes,Barcelona,Barcelona,Sant Martí,es,Provençals del Poblenou,41.4088672,2.1930544,False,https://www.idealista.com/inmueble/89211860/,3246,False,False,3265.0,{'typology': 'flat'},"{'subtitle': 'Provençals del Poblenou, Barcelona', 'title': 'Piso en Gran Via de les Corts Catalanes'}",False,False,False,good,True,,,16,
48,89194602,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/68/2d/765555408.jpg,PBJREB,14,3,215000.0,flat,sale,83.0,True,3,1,barrio La Marina del Port,Barcelona,Barcelona,Sants-Montjuïc,es,La Marina del Port,41.3583725,2.1400873,False,https://www.idealista.com/inmueble/89194602/,3936,False,False,2590.0,{'typology': 'flat'},"{'subtitle': 'La Marina del Port, Barcelona', 'title': 'Piso'}",False,False,False,good,True,,,16,
49,89208864,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/30/4a/765974585.jpg,00973R13,41,2,382000.0,flat,sale,113.0,True,4,2,Calle de Calàbria,Barcelona,Barcelona,Eixample,es,La Nova Esquerra de l'Eixample,41.3850684,2.1444669,False,https://www.idealista.com/inmueble/89208864/,1803,False,False,3381.0,{'typology': 'flat'},"{'subtitle': ""La Nova Esquerra de l'Eixample, Barcelona"", 'title': 'Piso en Calle de Calàbria'}",False,False,False,good,True,,,16,
0,89208850,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/12/34/0c/765974097.jpg,00936R31,36,1,365000.0,duplex,sale,109.0,True,4,2,Calle de Sant Antoni Maria Claret,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.4063442,2.167825,False,https://www.idealista.com/inmueble/89208850/,2036,False,False,3349.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'La Sagrada Família, Barcelona', 'title': 'Dúplex en Calle de Sant Antoni Maria Claret'}",False,False,False,good,True,,,16,
1,89210116,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/99/f7/64/766009765.jpg,CLOT298,25,8,298000.0,flat,sale,82.0,True,3,1,Monturiol,Barcelona,Barcelona,Sant Martí,es,El Clot,41.4117615,2.193247,False,https://www.idealista.com/inmueble/89210116/,3492,False,False,3634.0,{'typology': 'flat'},"{'subtitle': 'El Clot, Barcelona', 'title': 'Piso en Monturiol'}",False,False,False,good,True,,,16,
